,Name,benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Benefit 6
26,HDFC Bank Times Card Credit Platinum,Complimentary Times Prime Annual Membership worth Rs 999,Up to 20% discount offers on travel & shopping on www.hdfcbank.timescard.com,50 % discount on Movies on Book My show,3 Reward points for every Rs.150 spent on the card,10 Reward points per Rs 150 on weekday Dining,
27,HDFC Bank Times Card Credit,Complimentary Times Prime Annual Membership worth Rs. 999,Up to 20% discount offers on travel and shopping on www.hdfcbank.timescard.com,25 % discount on Movies on Book My show,2 Reward points for every Rs.150 spent on the card,5 Reward points per Rs 150 on weekday Dining,
28,Regalia Gold Credit Card,Complimentary Club Vistara Silver Tier and MMT Black Elite membership as Welcome benefits.,"₹ 1,500 worth vouchers on quarterly spends of Rs. 1.5 lakh","₹ 5,000 worth flight vouchers on annual spends of Rs. 5 lakh and Rs. 7.5 lakhs.","5X Reward Points on spends at Marks & Spencer, Myntra, Nykaa & Reliance Digital!",,
29,IRCTC HDFC Bank Credit Card,5 Reward Point for every INR 100 spent on IRCTC ticketing website and Rail Connect App.,1 Reward Point for every INR 100 spent on all other spends*.,Additional 5% cashback on train ticket bookings via HDFC Bank SmartBuy.,8 complimentary access to select IRCTC Executive Lounge every year (2 per quarter),"Gift voucher worth INR 500 on quarterly spends of INR 30,000.",
30,6E Rewards - IndiGo HDFC Bank Credit Card,2.5% 6E Rewards on IndiGo,"2% 6E Rewards on Grocery, Dining & Entertainment",1% 6E Rewards on all other spends*,Up to 10% 6E Rewards on Indigo featured partners,Discounted Convenience Fee on IndiGo tickets-Rs.150 per pax (current – Rs.300),
31,6E Rewards XL- IndiGo HDFC Bank Credit Card,5% 6E Rewards on IndiGo,"3% 6E Rewards on Grocery, Dining & Entertainment",2% 6E Rewards on all other spends*,Up to 15% 6E Rewards on Indigo featured partners,Discounted Convenience Fee on IndiGo tickets-Rs.150 per pax (current – Rs.300),
32,InterMiles HDFC Bank Diners Club Credit Card,"Welcome benefit of up to 25,000 InterMiles and earn 8 InterMiles per every Rs.150 spent",InterMiles Gold tier Membership for first year,2X InterMiles for flights booked on www.intermiles.com & Hotel booked via Interbook.intermiles.com,Rs 5000 Worth Flight & Hotel discount vouchers*,,
33,InterMiles HDFC Bank Signature Credit Card,"Welcome benefit of up to 8,000 InterMiles and earn 6 InterMiles per every Rs.150 spent",InterMiles Silver tier Membership for first year,2X InterMiles for flights booked on www.intermiles.com & Hotel booked via Interbook.intermiles.com,Complimentary Domestic  & International Lounge Access*,,
34,InterMiles HDFC Bank Platinum Credit Card,"Welcome benefit of up to 3,000 InterMiles and earn 4 InterMiles per every Rs.150 spent",2X InterMiles for flights booked on www.intermiles.com & Hotel booked via Interbook.intermiles.com,Rs. 1500 Worth flight & hotel discount vouchers*,8 Complimentary Domestic Lounge Access*,,
35,IndianOil HDFC Bank Credit Card,Earn up to 50 Liters of Free fuel annually,"Earn 5% of your spends as Fuel Points at IndianOil outlets, Groceries and Bill Payments.",Earn 1 Fuel Point for every Rs. 150 spent on all other purchases,Enjoy 1% Fuel Surcharge waiver,,
36,Easy EMI Card,"Automatic conversion on spends of ₹10,000 and above to EMI of 9 months","5% CashBack on Amazon & Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,,
37,All Miles Credit Card,Free access to over 600 exclusive airport lounges,"Three reward points for every Rs. 150 spent, redeem points for air miles",Double reward points for spends on AllMiles website,,,
38,Freedom Credit Card,Earn 1 Reward Point on every ₹150 spent,"Enjoy ₹1000 Gift Voucher on annual spends of ₹90,000 and above",Get add-on Credit Card for free with your existing Freedom Credit Card,,,
39,Bharat Credit Card,"5% CashBack on IRCTC bookings, bill payments, and fuel spends","Additional 5% CashBack on EasyEMI, PayZapp and SmartBuy spends",,,,
40,Business Bharat Credit Card,Enjoy 5% CashBack on various products and categories,Enjoy safe and secure transactions with chip-enabled cards,,,,
41,Business Freedom Credit Card,"Enjoy 5% CashBack on movies, dining, super market spends, taxi and bill payment",Get interest-free credit period for 50 days,Enjoy revolving credit at nominal interest rates,,,
42,Business Gold Credit Card,Travel abroad securely with HDFC ERGO travel insurance policy,Get interest-free credit period for 50 days,Enjoy higher security with chip technology Credit Cards,,,
43,Business Platinum Credit Card,Enjoy 1% CashBack on retail and international spends,Get free access to exclusive airport lounges when you travel,Stay protected with zero-liability on your card,,,
44,Business Regalia First Credit Card,Earn 4 Reward Points for every ₹ 150 spent,Get up to 15% discount at 300+ premium restaurants,"5% CashBack on IRCTC, Utility and Tax Payments.",,,
45,Diners Club Premium Credit Card,Upto 6 Complimentary access to 1000+ Lounges Worldwide in a year,Book a concierge for your travel needs. Simply call : 1800 209 4006,Earn 4 Reward Points for every Rs. 150/- retail spends,Upto 5% cashback via SmartBuy,,
46,Diners Club Rewardz Credit Card,Earn 3 Reward Points for every Rs. 150/- retail spends,Upto 5% cashback via SmartBuy,Book a concierge for your travel needs. Simply call : 1800 209 4006,,,
47,Doctor's Regalia Credit Card,Complimentary Airport Lounge Access through Priority Pass Membership,Professional Indemnity Insurance Cover of up to ₹ 20 Lakhs,"Earn Bonus 15,000 Reward Points on spends of ₹ 8 lakhs in a year",,,
48,Doctors Superia Credit Card,3 Reward Points for every ₹ 150 spent and 50% more points on dining spends,Reward Points can be exchanged for Miles (at 0.7 Miles for every point),,,,
49,JetPrivilege HDFC Bank Select / Titanium,Earn InterMiles on your purchases and accelerated miles on flights booked on www.intermiles.com,Fuel surcharge of 2.5% plus service tax will be replaced by Convenience fee of 1% (effective 01 Feb’17) plus GST (effective 01 Jul’17).,,,,
50,Platinum Edge Credit Card,Exciting CashBack offers on everyday spends,2 Reward Points for every ₹ 150 spent; 50% more Reward Points at premium restaurants,Redemption of Reward Points as CashBack to pay off Credit Card dues,,,
51,Platinum Plus Credit Card,2 Reward Points for every ₹ 150 spent,"50% more Reward Points for every ₹ 150 spent above ₹ 50,000 per statement cycle",Savings up to ₹ 250 in every billing cycle with a 100% fuel surcharge waiver,,,
52,Solitaire Credit Card,3 Reward Points for every ₹ 150 spent,50% more Reward Points on dining and grocery spends,₹1000 Shoppers Stop voucher on spends above ₹75000 within 6 months,,,
53,Superia Credit Card,"Save more while flying domestic with Air India, etc.",Redeem points for Miles with 20+ international airlines,3 Reward Points on every ₹ 150 spent; 50% more on dining spends,,,
54,Teachers Platinum Credit Card,Special gift of 500 Reward Points on Teacher's Day (5 Sept) every year,Convenient utility bill payment with SmartPay,2 Reward Points for every ₹ 150 spent; 3X Reward Points on weekends,,,
55,Titanium Edge Credit Card,Great cashback offers on everyday spends,2 Reward Points for every ₹ 150 spent; 50% more Reward Points at premium restaurants,Redemption of Reward Points as CashBack to pay off Credit Card dues,,,
56,Visa Signature Credit Card,Free lounge access at over 600+ airports globally with a complimentary Priority Pass membership,2 Reward Points for every ₹ 150 spent,Savings of up to ₹ 250 in every billing cycle with a 100% fuel surcharge waiver,,,
57,World MasterCard Credit Card,Free lounge access at 600+ airports globally with a complimentary Priority Pass membership,2 Reward Points for every ₹ 150 spent,"50% more Reward Points for every ₹ 150 spent above ₹ 75,000 per statement cycle",,,
58,MoneyBack Credit Card,Two reward points for every ₹ 150 spent; 2x reward points for shopping online,"png Reward points redemption as cashback against credit card dues, exclusive gifts, or air miles",Savings up to ₹ 250 every billing cycle with a 100% fuel surcharge waiver,,,
59,Millennia Credit Card,"5% CashBack on Amazon, Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,8 Complimentary Domestic Airport Lounge access annually,,
